Query,RespuestaEsperada
Acabo de presenciar un accidente de tráfico,"Seguí el esquema P.A.S.: Proteger, Avisar y Socorrer. 1. PROTEGER: Detenete en lugar seguro fuera de la calzada, apagá el motor, encendé las luces de emergencia y colocá los triángulos de preseñalización a 50 metros del vehículo (visibles desde 100m). Poné el chaleco reflectante ANTES de bajar del auto. Identificá peligros:  incendio, combustible derramado, mercancías peligrosas. 2. AVISAR: Llamá al 112 inmediatamente. 3. SOCORRER: Auxiliá a los heridos sin moverlos, salvo que sea estrictamente necesario.
  2. Abrí la vía aérea con la maniobra frente-mentón: una mano en la frente empujando hacia atrás, la otra bajo el mentón elevándolo.
  3. Comprobá respiración mirando, escuchando y sintiendo durante máximo 10 segundos.
  4. Si no respira, comenzá compresiones torácicas:
      - Talón de la mano en el centro del pecho.
      - Brazos verticales, comprimí 4-5 cm a ritmo de 100 por minuto.
      - Alterná 30 compresiones + 2 insuflaciones boca a boca.
5. No pares hasta que llegue ayuda cualificada, la víctima respire, o te agotes.
 Si no podés hacer insuflaciones, realizá solo compresiones continuas a 100 por minuto."
Una persona está sangrando mucho por el brazo ¿Que Hago?,"Seguí estos pasos en orden:
 1. Presión directa: Aplicá presión firme sobre la herida con una gasa o paño limpio. NO levantes ni cambies la tela aunque se manche. Usá guantes si tenés.
 2. Elevá el miembro: Manteniendo la presión, levantá el brazo por encima del nivel del corazón para dificultar la salida de sangre.
3. Presión arterial: Si con lo anterior no alcanza, presioná la arteria humeral (cara interna del brazo, bajo el bíceps) contra el hueso, sin soltar la presión en la herida.
4. Torniquete: SOLO como último recurso y únicamente si hay amputación. Una vez colocado, NO lo retirés ni aflojés hasta que el herido llegue al hospital. Anotá la hora en que lo pusiste.
 Si la sangre sale por oídos, nariz o boca, NO intentes cohibirla — puede tener origen intracraneal y taponar es peligroso."
¿Tengo que sacar al herido del Auto?,"Como norma general: NO. No debés mover a un herido de un accidente de tráfico salvo que sea estrictamente necesario. Moverlo sin las precauciones adecuadas puede causar o agravar lesiones en la columna vertebral cervical.
 Solo podés moverlo en estos casos:
     - Existe peligro inmediato e inminente para su vida (incendio, vehículo a punto de caer al agua).
     - Necesitás colocarlo en Posición Lateral de Seguridad porque comienza a vomitar o sangrar por la boca. Si hay que moverlo, mantené siempre el eje cabeza–cuello–tronco alineado, moviéndolo como si fuera un bloque rígido. Tampoco retirés el casco a un motorista salvo indicación clara."
"El herido está consciente pero muy pálido, con piel fría y sudando. ¿Qué le pasa y qué hago?","Esos síntomas palidez, sudoración fría, pulso rápido y débil, confusión e inquietud son señales de shock, una respuesta del organismo a la pérdida importante de sangre (puede ser interna, sin herida visible).
Es una situación de peligro vital. Actuá así:
 1. Llamá al 112 de inmediato si aún no lo hiciste.
 2. No le des nada de comer ni beber puede provocar vómitos y complicaciones respiratorias graves.
3. Colocalo en posición antishock: cabeza más baja que el resto del cuerpo, si es posible, si comienza a manifestar signos de inconsciencia, náuseas o vómitos, se colocara a la víctima en ""posición de defensa"". Recuerde que de debe preservar siempre el eje cabeza-cuello-tronco
4. Tapalo ligeramente para que no pierda su propio calor, pero SIN sobrecalentarlo — el exceso de calor dilata los vasos de la piel y agrava el shock.
5. Aflojale la ropa que le oprima: cuello, corbata, cinturón.
6. No lo muevas innecesariamente — tratalo como si tuviera lesión en la columna vertebral.
7. Vigilalo constantemente hasta que llegue la ayuda, porque un herido consciente puede perder el conocimiento de forma súbita.
Recordá que un herido que parece ""bien"" puede empeorar rápidamente. La vigilancia continua es clave."
"Un chico en moto acaba de chocar, debería sacarle el casco?","Si se trata de un herido que lleve casco, para evitar mayores lesiones cervicales no se le debe quitar ni permitir que alguien se lo retire, salvo que fuera necesario y exista ayuda especializada. (pagina 61)"
En que posición debo poner a un herido?,"La Posición Lateral de Seguridad sitúa al herido inconsciente con la cabeza de lado y la boca más baja, favoreciendo que la sangre, el vómito o cualquier secreción, salga libremente al exterior por la boca (pagina 45)"
"Me clavé un vidrio y la herida es grande, me saco el vidrio?","No retirar ni intentar retirar los objetos clavados en la herida, puesto que se podría aumentar la lesión de los tejidos y la hemorragia. Simplemente, tapar la herida con el objeto incrustado e inmovilizar en bloque al paciente junto con el objeto penetrante. (pagina 69)"
"Hay una persona con quemaduras, qué hago?","Se debe refrigerar la zona quemada con abundante agua fría y cubrir la herida con apósitos o telas limpias humedecidas. Nunca se deben aplicar pomadas ni pinchar las ampollas, ya que esto facilitaría la infección y la pérdida de líquidos. (pagina 71)"
"Mi hermano perdió un dedo, qué hago?","Cubrir la zona amputada con gasas estériles, almohadillar con algodón y comprimir por un vendaje. Si existiera una hemorragia muy abundante, aplicar un torniquete. Lavar la parte desprendida con agua, cubrirla con gasas estériles, introducirla en una bolsa o recipiente hermético y a continuación sumergir la bolsa o el recipiente en agua con cubitos de hielo (evitar contacto directo con el hielo). Procurar el traslado inmediato del accidentado a un centro asistencial que en la medida de lo posible deberá ser informado del tipo de lesión. (pagina 70)"
"¡Mi papá se cortó la cabeza con el techo del auto y le chorrea muchísima sangre por la cara, parece gravísimo y me da miedo que se desangre! ¿Qué hago?","Las heridas del cuero cabelludo característicamente sangran en abundancia, lo que, unido al aspecto llamativo de la herida, puede dar la impresión de extrema gravedad. Sin embargo, habitualmente no es así. La actitud del auxiliador habrá de limitarse a colocar un apósito o vendaje sobre la herida. Tema 5, Página 60"
